,a_score,a_tid,away_percentage,h_score,h_tid,home_percentage,round,season,win_tid,home_last_season_percentage,away_last_season_percentage,home_team_win
1,106,115,1.1287202381,37,114,0.989532449407,R16,2005,115,0.0,0.0,0
2,47,113,0.965132496513,126,107,1.12254160363,R16,2005,107,0.0,0.0,1
3,88,102,1.16917293233,111,117,1.39225589226,R16,2005,117,0.0,0.0,1
4,104,116,1.03524590164,78,111,1.05548128342,R16,2005,116,0.0,0.0,0
5,35,118,0.970771144279,109,101,1.25830258303,R16,2005,101,0.0,0.0,1
6,109,112,0.982770997846,68,110,0.827290705339,R16,2005,112,0.0,0.0,0
7,152,106,0.993435448578,117,103,0.705583756345,R16,2005,106,0.0,0.0,0
0,70,104,0.841470765521,143,115,1.17523533671,R17,2005,115,0.0,0.0,1
1,103,103,0.710649350649,127,110,0.813653136531,R17,2005,110,0.0,0.0,1
2,98,107,1.17604090577,133,118,0.929528246942,R17,2005,118,0.0,0.0,1
3,101,105,0.857227840571,114,102,1.14018043026,R17,2005,102,0.0,0.0,1
4,83,114,0.945419103314,96,113,0.917307692308,R17,2005,113,0.0,0.0,1
5,67,117,1.38322884013,88,116,1.0531587057,R17,2005,116,0.0,0.0,1
6,122,101,1.3163538874,109,112,1.01163586585,R17,2005,101,0.0,0.0,0
7,76,111,1.035625,101,106,1.01747311828,R17,2005,106,0.0,0.0,1
0,94,107,1.13715046605,107,105,0.859052924791,R18,2005,105,0.0,0.0,1
1,176,115,1.21709166092,88,111,1.01881246326,R18,2005,115,0.0,0.0,0
2,49,110,0.838635049161,97,117,1.3431085044,R18,2005,117,0.0,0.0,1
3,47,116,1.06593406593,54,101,1.29885993485,R18,2005,101,0.0,0.0,1
4,123,102,1.13942931258,151,118,0.95261707989,R18,2005,118,0.0,0.0,1
5,96,113,0.929397443701,100,112,1.00252684776,R18,2005,112,0.0,0.0,1
6,98,106,1.03260869565,85,104,0.813540510544,R18,2005,106,0.0,0.0,0
7,106,114,0.940672782875,141,103,0.716861598441,R18,2005,103,0.0,0.0,1
0,55,107,1.11995027968,96,115,1.26185834958,R19,2005,115,0.0,0.0,1
1,46,111,0.970165157166,100,101,1.29333333333,R19,2005,101,0.0,0.0,1
2,97,117,1.36518046709,140,118,0.970072239422,R19,2005,118,0.0,0.0,1
3,66,114,0.925675675676,93,106,1.03881140085,R19,2005,106,0.0,0.0,1
4,118,116,1.0584918957,98,105,0.872948650079,R19,2005,116,0.0,0.0,0
5,80,110,0.820920043812,121,102,1.11045481394,R19,2005,102,0.0,0.0,1
6,104,112,1.00476474092,98,104,0.816315789474,R19,2005,112,0.0,0.0,0
7,123,113,0.931153184165,109,103,0.746987951807,R19,2005,113,0.0,0.0,0
0,80,106,1.05306122449,128,117,1.30457179652,R20,2005,117,0.0,0.0,1
1,100,111,0.944360141629,99,107,1.08914956012,R20,2005,111,0.0,0.0,0
2,108,115,1.27854454203,85,112,1.00787844682,R20,2005,115,0.0,0.0,0
3,129,103,0.754493643139,94,104,0.822854291417,R20,2005,103,0.0,0.0,0
4,88,101,1.32399697199,81,113,0.942764578834,R20,2005,101,0.0,0.0,0
5,40,102,1.12859560068,124,116,1.06789716546,R20,2005,116,0.0,0.0,1
6,119,118,0.992628992629,107,114,0.91492776886,R20,2005,118,0.0,0.0,0
7,104,105,0.870453413054,117,110,0.810991268618,R20,2005,110,0.0,0.0,1
0,75,115,1.27814175104,80,106,1.02333152469,R21,2005,106,0.0,0.0,1
1,33,117,1.319044703,109,107,1.0836565097,R21,2005,107,0.0,0.0,1
2,41,104,0.817158931083,151,101,1.31027104137,R21,2005,101,0.0,0.0,1
3,105,118,0.998599439776,109,111,0.947495183044,R21,2005,111,0.0,0.0,1
4,81,113,0.94175257732,51,102,1.07590933052,R21,2005,113,0.0,0.0,0
5,64,112,0.995225464191,101,116,1.12010276172,R21,2005,116,0.0,0.0,1
6,83,103,0.778947368421,182,105,0.871468926554,R21,2005,105,0.0,0.0,1
7,133,110,0.826913700634,137,114,0.913983903421,R21,2005,114,0.0,0.0,1
0,100,104,0.781085814361,141,118,0.996890270991,R22,2005,118,0.0,0.0,1
1,82,101,1.37768537769,74,117,1.25545350172,R22,2005,101,0.0,0.0,0
2,129,116,1.13818630475,75,110,0.83592321755,R22,2005,116,0.0,0.0,0
3,75,106,1.02502606882,120,113,0.958312405826,R22,2005,113,0.0,0.0,1
4,47,102,1.05763397371,186,115,1.26264923252,R22,2005,115,0.0,0.0,1
5,68,114,0.921263554927,69,107,1.12350380849,R22,2005,107,0.0,0.0,1
6,95,111,0.951856946355,85,105,0.921159945628,R22,2005,111,0.0,0.0,0
7,113,112,0.976837865055,83,103,0.755964020336,R22,2005,112,0.0,0.0,0
176,66,115,1.0,84,117,1.0,R01,2006,117,1.23958333333,1.33277962348,1
177,52,114,1.0,167,118,1.0,R01,2006,118,1.01446193109,0.923287671233,1
178,38,102,1.0,115,107,1.0,R01,2006,107,1.11962224554,0.988447319778,1
179,128,112,1.0,87,113,1.0,R01,2006,112,0.98160696999,0.992266795553,0
180,81,116,1.0,108,105,1.0,R01,2006,105,0.920069504778,1.16391509434,1
181,87,106,1.0,109,110,1.0,R01,2006,110,0.821752265861,1.0014720314,1
182,93,103,1.0,72,111,1.0,R01,2006,103,0.958075904678,0.755056179775,0
183,111,101,1.0,77,104,1.0,R01,2006,101,0.776907216495,1.36453526697,0
0,77,114,0.311377245509,88,115,0.785714285714,R02,2006,115,1.33277962348,0.923287671233,1
1,90,111,0.774193548387,137,118,3.21153846154,R02,2006,118,1.01446193109,0.958075904678,1
2,69,112,1.47126436782,138,107,3.02631578947,R02,2006,107,1.11962224554,0.992266795553,1
3,86,103,1.29166666667,101,106,0.798165137615,R02,2006,106,1.0014720314,0.755056179775,1
4,97,105,1.33333333333,115,102,0.330434782609,R02,2006,102,0.988447319778,0.920069504778,1
5,106,113,0.6796875,80,116,0.75,R02,2006,113,1.16391509434,0.98160696999,0
6,119,104,0.693693693694,84,110,1.25287356322,R02,2006,104,0.821752265861,0.776907216495,0
7,90,117,1.27272727273,88,101,1.44155844156,R02,2006,117,1.36453526697,1.23958333333,0
0,87,102,0.721698113208,124,115,0.95652173913,R03,2006,115,1.33277962348,0.988447319778,1
1,101,110,0.936893203883,49,107,2.36448598131,R03,2006,110,1.11962224554,0.821752265861,0
2,90,114,0.505882352941,136,117,1.12987012987,R03,2006,117,1.23958333333,0.923287671233,1
3,81,116,0.752336448598,74,103,1.03468208092,R03,2006,116,0.755056179775,1.16391509434,0
4,102,101,1.19161676647,97,111,0.704347826087,R03,2006,101,0.958075904678,1.36453526697,0
5,104,118,2.14084507042,93,105,1.04591836735,R03,2006,118,0.920069504778,1.01446193109,0
6,110,106,0.964102564103,79,113,0.927884615385,R03,2006,106,0.98160696999,1.0014720314,0
7,153,104,1.00512820513,76,112,0.875555555556,R03,2006,104,0.992266795553,0.776907216495,0
0,100,110,1.15294117647,68,103,0.996062992126,R04,2006,110,0.755056179775,0.821752265861,0
1,97,107,1.45192307692,98,118,1.73617021277,R04,2006,118,1.01446193109,1.11962224554,1
2,70,101,1.14015151515,59,106,1.08759124088,R04,2006,101,1.0014720314,1.36453526697,0
3,96,114,0.56010230179,82,102,0.714285714286,R04,2006,114,0.988447319778,0.923287671233,0
4,97,111,0.780120481928,92,116,0.840277777778,R04,2006,111,1.16391509434,0.958075904678,0
5,95,117,1.27049180328,71,112,0.722222222222,R04,2006,117,0.992266795553,1.23958333333,0
6,118,115,1.12096774194,122,113,0.85534591195,R04,2006,113,0.98160696999,1.33277962348,1
7,89,105,0.993333333333,106,104,1.28782287823,R04,2006,104,0.776907216495,0.920069504778,1
0,84,103,0.906779661017,92,114,0.665961945032,R05,2006,114,0.923287671233,0.755056179775,1
1,86,112,0.727272727273,90,111,0.839622641509,R05,2006,111,0.958075904678,0.992266795553,1
2,55,118,1.52409638554,132,101,1.14860681115,R05,2006,101,1.36453526697,1.01446193109,1
3,63,102,0.74537037037,122,117,1.28571428571,R05,2006,117,1.23958333333,0.988447319778,1
4,85,107,1.30392156863,107,116,0.867532467532,R05,2006,116,1.16391509434,1.11962224554,1
5,94,106,1.03779069767,93,115,1.07027027027,R05,2006,106,1.33277962348,1.0014720314,0
6,83,105,0.953201970443,84,110,1.21981424149,R05,2006,110,0.821752265861,0.920069504778,1
7,79,113,0.903669724771,120,104,1.26388888889,R05,2006,104,0.776907216495,0.98160696999,1
0,81,107,1.17191283293,87,111,0.874509803922,R06,2006,111,0.958075904678,1.11962224554,1
1,83,117,1.39417989418,88,106,1.03203661327,R06,2006,106,1.0014720314,1.23958333333,1
2,78,118,1.20905172414,92,115,1.05387931034,R06,2006,115,1.33277962348,1.01446193109,1
3,53,113,0.85071942446,103,101,1.33068783069,R06,2006,101,1.36453526697,0.98160696999,1
4,97,114,0.730700179533,95,105,0.959183673469,R06,2006,114,0.920069504778,0.923287671233,0
5,102,116,0.93829787234,70,102,0.694945848375,R06,2006,116,0.988447319778,1.16391509434,0
6,138,104,1.30979498861,66,103,0.908071748879,R06,2006,104,0.755056179775,0.776907216495,0
7,80,110,1.17733990148,102,112,0.763765541741,R06,2006,112,0.992266795553,0.821752265861,1
0,82,107,1.13,64,115,1.07195571956,R07,2006,107,1.33277962348,1.11962224554,0
