,a_score,a_tid,away_percentage,h_score,h_tid,home_percentage,margin,round,season,win_tid,home_last_season_percentage,away_last_season_percentage,home_team_win
166,98,104,0.848713398403,80,112,1.0554250822,18,R21,2000,104,0.0,0.0,0
167,108,107,0.971844660194,126,111,1.15889287545,18,R21,2000,111,0.0,0.0,1
168,81,110,0.968878718535,66,118,1.04398148148,15,R22,2000,110,0.0,0.0,0
169,78,104,0.861610968295,97,105,1.60697399527,19,R22,2000,105,0.0,0.0,1
170,120,116,1.01861575179,124,107,0.965233302836,4,R22,2000,107,0.0,0.0,1
171,49,106,0.746141348497,156,102,1.12563276576,107,R22,2000,102,0.0,0.0,1
172,77,115,0.708084428515,120,112,1.04490345757,43,R22,2000,112,0.0,0.0,1
173,170,111,1.15930063137,100,117,0.949304620906,70,R22,2000,111,0.0,0.0,0
174,139,113,0.81207444394,92,101,0.979619565217,47,R22,2000,113,0.0,0.0,0
175,52,114,0.961832061069,125,103,1.31914893617,73,R22,2000,103,0.0,0.0,1
176,146,105,1.0,61,112,1.0,85,R01,2001,105,1.06206597222,1.59096045198,0
177,81,104,1.0,85,110,1.0,4,R01,2001,110,0.976454908929,0.859317153435,1
178,119,103,1.0,118,106,1.0,1,R01,2001,103,0.720397249809,1.34765032845,0
179,112,115,1.0,107,118,1.0,5,R01,2001,115,1.03569834895,0.705055112125,0
180,93,102,1.0,99,113,1.0,6,R01,2001,113,0.840087145969,1.17101710171,1
181,49,117,1.0,115,107,1.0,66,R01,2001,107,0.968777103209,0.923718215923,1
182,74,101,1.0,126,116,1.0,52,R01,2001,116,1.01577287066,0.960801022582,1
183,134,114,1.0,103,111,1.0,31,R01,2001,114,1.18434460398,0.931112111661,0
184,107,113,1.06451612903,145,105,2.39344262295,38,R02,2001,105,1.59096045198,0.840087145969,1
185,111,118,0.955357142857,69,114,1.30097087379,42,R02,2001,118,0.931112111661,1.03569834895,0
186,107,110,1.04938271605,81,103,1.00847457627,26,R02,2001,110,1.34765032845,0.976454908929,0
187,88,106,0.991596638655,105,104,0.952941176471,17,R02,2001,104,0.859317153435,0.720397249809,1
188,83,111,0.768656716418,80,101,0.587301587302,3,R02,2001,111,0.960801022582,1.18434460398,0
189,58,112,0.417808219178,118,102,0.939393939394,60,R02,2001,102,1.17101710171,1.06206597222,1
190,104,116,1.7027027027,89,117,0.426086956522,15,R02,2001,116,0.923718215923,1.01577287066,0
191,115,107,2.34693877551,86,115,1.04672897196,29,R02,2001,107,0.705055112125,0.968777103209,0
192,76,105,1.73214285714,93,103,0.888888888889,17,R03,2001,103,1.34765032845,1.59096045198,1
193,94,102,1.34394904459,116,114,0.948598130841,22,R03,2001,114,0.931112111661,1.17101710171,1
194,153,104,1.07514450867,81,118,1.2044198895,72,R03,2001,104,1.03569834895,0.859317153435,0
195,151,116,1.41104294479,71,112,0.450757575758,80,R03,2001,116,1.06206597222,1.01577287066,0
196,153,113,0.865546218487,88,101,0.736842105263,65,R03,2001,113,0.960801022582,0.840087145969,0
197,125,117,0.630136986301,107,115,0.891891891892,18,R03,2001,117,0.705055112125,0.923718215923,0
198,82,110,1.18518518519,59,106,0.919642857143,23,R03,2001,110,0.720397249809,0.976454908929,0
199,104,107,1.7037037037,124,111,0.869158878505,20,R03,2001,111,1.18434460398,0.968777103209,1
200,102,105,1.4061302682,55,116,1.62820512821,47,R04,2001,105,1.01577287066,1.59096045198,0
201,86,114,1.03571428571,71,104,1.33464566929,15,R04,2001,114,0.859317153435,0.931112111661,0
202,62,101,0.668508287293,53,103,0.97342192691,9,R04,2001,101,1.34765032845,0.960801022582,0
203,87,102,1.11721611722,140,118,0.895209580838,53,R04,2001,118,1.03569834895,1.17101710171,1
204,112,117,0.806748466258,88,106,0.866013071895,24,R04,2001,117,0.720397249809,0.923718215923,0
205,50,115,0.878962536023,114,113,1.10122699387,64,R04,2001,113,0.840087145969,0.705055112125,1
206,44,111,0.974842767296,83,110,1.23981900452,39,R04,2001,110,0.976454908929,1.18434460398,1
207,53,112,0.457831325301,33,107,1.28957528958,20,R04,2001,112,0.968777103209,1.06206597222,0
208,95,104,1.20588235294,103,105,1.48417721519,8,R05,2001,105,1.59096045198,0.859317153435,1
209,109,114,1.06860158311,70,117,0.905797101449,39,R05,2001,114,0.923718215923,0.931112111661,0
210,92,115,0.770065075922,125,103,0.953168044077,33,R05,2001,103,1.34765032845,0.705055112125,1
211,155,110,1.34716981132,126,118,1.04275534442,29,R05,2001,110,1.03569834895,0.976454908929,0
212,75,112,0.542410714286,90,101,0.732530120482,15,R05,2001,101,0.960801022582,1.06206597222,1
213,122,106,0.844497607656,171,102,0.949152542373,49,R05,2001,102,1.17101710171,0.720397249809,1
214,104,116,1.29761904762,119,111,0.882793017456,15,R05,2001,111,1.18434460398,1.01577287066,1
215,148,113,1.2579787234,102,107,1.17628205128,46,R05,2001,113,0.968777103209,0.840087145969,0
216,129,114,1.14476614699,78,112,0.591078066914,51,R06,2001,114,1.06206597222,0.931112111661,0
