,a_score,a_tid,away_percentage,h_score,h_tid,home_percentage,margin,round,season,win_tid,home_last_season_percentage,away_last_season_percentage,home_team_win
38,80,114,1.1510989011,81,106,1.02873563218,1,R05,2013,106,1.15671200473,1.11631497684,1
39,148,108,0.825192802057,104,109,0.620229007634,44,R05,2013,108,0.461650308979,0.608222490931,0
40,83,101,1.07941176471,115,103,0.965601965602,32,R05,2013,103,1.08,1.32460447354,1
41,79,117,0.981308411215,84,113,1.59283387622,5,R05,2013,113,0.788712686567,1.24183729939,1
42,107,107,1.12,86,118,0.792105263158,21,R05,2013,107,0.670143415906,1.17126193001,0
43,94,111,0.530988274707,122,102,0.663636363636,28,R05,2013,102,0.910133843212,0.674925245622,1
44,96,112,1.00980392157,99,110,1.39215686275,3,R05,2013,110,1.54587420658,1.12494039103,1
45,77,115,0.976293103448,103,104,0.936090225564,26,R06,2013,104,1.16456390565,1.23331581713,1
46,81,109,0.638392857143,120,105,1.76704545455,39,R06,2013,105,1.0004784689,0.461650308979,1
47,83,113,1.48445595855,93,112,1.00197238659,10,R06,2013,112,1.12494039103,0.788712686567,1
48,89,110,1.31567328918,78,101,0.989010989011,11,R06,2013,110,1.32460447354,1.54587420658,0
49,99,106,1.02570093458,54,108,0.951318458418,45,R06,2013,106,0.608222490931,1.15671200473,0
50,131,107,1.14197530864,87,114,1.12134831461,44,R06,2013,107,1.11631497684,1.17126193001,0
51,55,102,0.775280898876,115,116,1.2453271028,60,R06,2013,116,1.4057704113,0.910133843212,1
52,67,118,0.794661190965,137,117,0.974609375,70,R06,2013,117,1.24183729939,0.670143415906,1
53,60,111,0.571627260083,121,103,1.03673469388,61,R06,2013,103,1.08,0.674925245622,1
54,85,105,1.71362586605,113,107,1.19720767888,28,R07,2013,107,1.17126193001,1.0004784689,1
55,114,114,1.01736111111,73,113,1.36951983299,41,R07,2013,114,0.788712686567,1.11631497684,0
56,108,117,1.09844559585,82,102,0.722650231125,26,R07,2013,117,0.910133843212,1.24183729939,0
57,151,112,1.0186440678,97,118,0.727564102564,54,R07,2013,112,0.670143415906,1.12494039103,0
58,73,104,0.986863711002,100,106,1.11618257261,27,R07,2013,106,1.15671200473,1.16456390565,1
59,82,116,1.34161490683,119,110,1.29001883239,37,R07,2013,110,1.54587420658,1.4057704113,1
60,187,101,0.970588235294,52,109,0.643939393939,135,R07,2013,101,0.461650308979,1.32460447354,0
61,114,108,0.883445945946,54,111,0.560714285714,60,R07,2013,108,0.674925245622,0.608222490931,0
62,68,103,1.14363636364,77,115,0.934744268078,9,R07,2013,115,1.23331581713,1.08,1
63,88,112,1.09461426492,90,117,1.12556732224,2,R08,2013,117,1.24183729939,1.12494039103,1
64,96,102,0.72787318362,86,105,1.51465201465,10,R08,2013,102,1.0004784689,0.910133843212,0
65,57,109,0.574055158325,140,110,1.31158238173,83,R08,2013,110,1.54587420658,0.461650308979,1
66,61,118,0.710967741935,93,108,0.986068111455,32,R08,2013,108,0.608222490931,0.670143415906,1
67,70,106,1.14954954955,70,116,1.21262458472,0,R08,2013,100,1.4057704113,1.15671200473,0
68,96,107,1.21428571429,102,104,0.950634696756,6,R08,2013,104,1.16456390565,1.17126193001,1
69,91,113,1.22934232715,109,103,1.11164274322,18,R08,2013,103,1.08,0.788712686567,1
70,72,111,0.550314465409,106,114,1.07858243451,34,R08,2013,114,1.11631497684,0.674925245622,1
71,47,115,0.955905511811,87,101,1.19966442953,40,R08,2013,101,1.32460447354,1.23331581713,1
72,102,116,1.19047619048,55,104,0.96397515528,47,R09,2013,116,1.16456390565,1.4057704113,0
73,116,107,1.17763157895,68,113,1.16809116809,48,R09,2013,107,0.788712686567,1.17126193001,0
74,155,117,1.11348464619,55,109,0.553172475424,100,R09,2013,117,0.461650308979,1.24183729939,0
75,110,118,0.705069124424,101,115,0.905817174515,9,R09,2013,118,1.23331581713,0.670143415906,0
76,98,103,1.12256267409,85,102,0.767497034401,13,R09,2013,103,0.910133843212,1.08,0
77,91,105,1.42211838006,62,114,1.11789181692,29,R09,2013,105,1.11631497684,1.0004784689,0
