mid,season,round,tid1,tid2,tid1_loc,tid2_loc,start_dt,venue,att,margin,win_score,win_tid,win_loc,lose_score,lose_loc,lose_tid,h_tid,h_score,h_q1g,h_q2g,h_q3g,h_q4g,h_etg,h_q1b,h_q2b,h_q3b,h_q4b,h_etb,a_tid,a_score,a_q1g,a_q2g,a_q3g,a_q4g,a_etg,a_q1b,a_q2b,a_q3b,a_q4b,a_etb
2004_QF_107_113,2004,QF,107,113,a,h,2004-09-05 14:00,Football Park,39250,55,117,113,h,62,a,107,113,117,5,11,13,18,0,2,4,7,9,0,107,62,2,3,7,9,0,2,5,6,8,0
2004_SF_115_116,2004,SF,115,116,h,a,2004-09-10 19:30,M.C.G.,50671,51,107,115,h,56,a,116,115,107,1,5,10,16,0,4,6,9,11,0,116,56,2,4,7,8,0,3,4,4,8,0
2004_SF_105_107,2004,SF,105,107,a,h,2004-09-11 19:30,M.C.G.,53356,10,74,107,h,64,a,105,107,74,2,5,9,10,0,5,8,11,14,0,105,64,0,1,4,9,0,4,6,8,10,0
2004_PF_113_115,2004,PF,113,115,h,a,2004-09-17 19:30,Football Park,46978,6,94,113,h,88,a,115,113,94,4,8,10,14,0,0,3,8,10,0,115,88,4,7,10,13,0,5,5,9,10,0
2004_PF_102_107,2004,PF,102,107,h,a,2004-09-18 19:30,M.C.G.,55768,9,84,102,h,75,a,107,102,84,3,6,9,12,0,3,4,10,12,0,107,75,3,5,8,10,0,5,8,12,15,0
2004_GF_102_113,2004,GF,102,113,a,h,2004-09-25 14:30,M.C.G.,77671,40,113,113,h,73,a,102,113,113,4,6,12,17,0,5,6,8,11,0,102,73,2,6,9,10,0,2,7,9,13,0
2005_QF_116_117,2005,QF,116,117,a,h,2005-09-02 18:30,Subiaco,43302,4,69,117,h,65,a,116,117,69,4,5,5,10,0,1,4,7,9,0,116,65,3,5,8,10,0,1,2,3,5,0
2005_EF_107_111,2005,EF,107,111,h,a,2005-09-03 14:30,M.C.G.,65018,55,116,107,h,61,a,111,107,116,5,12,16,18,0,4,5,8,8,0,111,61,2,6,6,9,0,3,4,6,7,0
2005_QF_101_115,2005,QF,101,115,a,h,2005-09-03 19:00,Football Park,48768,8,65,115,h,57,a,101,115,65,1,6,9,10,0,0,3,3,5,0,101,57,3,3,5,8,0,3,5,7,9,0
2005_EF_112_113,2005,EF,112,113,a,h,2005-09-04 14:30,Docklands,25195,87,164,113,h,77,a,112,113,164,6,12,20,26,0,1,3,6,8,0,112,77,6,7,10,11,0,6,7,9,11,0
2005_SF_107_116,2005,SF,107,116,a,h,2005-09-09 20:00,S.C.G.,39079,3,56,116,h,53,a,107,116,56,2,2,3,7,0,2,6,12,14,0,107,53,2,5,6,7,0,6,8,11,11,0
2005_SF_101_113,2005,SF,101,113,h,a,2005-09-10 19:00,Football Park,50521,83,123,101,h,40,a,113,101,123,3,4,12,18,0,4,7,9,15,0,113,40,2,3,4,5,0,1,6,6,10,0
2005_PF_115_116,2005,PF,115,116,a,h,2005-09-16 20:00,M.C.G.,73344,31,96,116,h,65,a,115,116,96,5,6,8,15,0,1,3,6,6,0,115,65,3,5,9,9,0,1,5,7,11,0
2005_PF_101_117,2005,PF,101,117,a,h,2005-09-17 13:00,Subiaco,43009,16,93,117,h,77,a,101,117,93,2,6,11,14,0,2,5,8,9,0,101,77,2,5,6,11,0,2,4,6,11,0
2005_GF_116_117,2005,GF,116,117,h,a,2005-09-24 14:35,M.C.G.,91828,4,58,116,h,54,a,117,116,58,3,6,6,8,0,0,3,5,10,0,117,54,2,2,5,7,0,4,7,9,12,0
2006_EF_111_115,2006,EF,111,115,h,a,2006-09-08 19:30,M.C.G.,67528,18,90,111,h,72,a,115,111,90,2,3,8,13,0,2,4,5,12,0,115,72,5,6,9,10,0,4,6,8,12,0
2006_QF_101_106,2006,QF,101,106,h,a,2006-09-09 14:30,Football Park,42208,30,76,101,h,46,a,106,101,76,1,3,5,10,0,3,8,12,16,0,106,46,4,5,7,7,0,2,2,4,4,0
2006_QF_116_117,2006,QF,116,117,h,a,2006-09-09 17:30,Subiaco,43116,1,85,116,h,84,a,117,116,85,3,7,10,13,0,2,3,6,7,0,117,84,2,4,9,12,0,3,6,9,12,0
2006_EF_104_118,2006,EF,104,118,a,h,2006-09-10 14:30,M.C.G.,84284,41,121,118,h,80,a,104,118,121,4,8,14,18,0,2,7,10,13,0,104,80,5,6,6,11,0,6,9,13,14,0
2006_SF_106_111,2006,SF,106,111,h,a,2006-09-15 18:30,Subiaco,42505,28,102,106,h,74,a,111,106,102,3,7,11,14,0,3,9,15,18,0,111,74,3,7,10,11,0,0,3,4,8,0
2006_SF_117_118,2006,SF,117,118,h,a,2006-09-16 17:30,Subiaco,43219,74,113,117,h,39,a,118,117,113,4,8,9,16,0,3,7,12,17,0,118,39,3,4,4,5,0,4,6,9,9,0
2006_PF_106_116,2006,PF,106,116,a,h,2006-09-22 20:00,Stadium Australia,61373,35,127,116,h,92,a,106,116,127,3,8,14,19,0,6,7,8,13,0,106,92,3,6,11,14,0,2,2,6,8,0
2006_PF_101_117,2006,PF,101,117,a,h,2006-09-23 15:00,Football Park,50514,10,85,117,h,75,a,101,117,85,0,2,6,11,0,4,7,12,19,0,101,75,3,6,8,11,0,3,5,8,9,0
2006_GF_116_117,2006,GF,116,117,a,h,2006-09-30 14:30,M.C.G.,97431,1,85,117,h,84,a,116,117,85,4,8,10,12,0,2,7,10,13,0,116,84,1,4,8,12,0,4,6,11,12,0
2007_QF_113_117,2007,QF,113,117,h,a,2007-09-07 19:50,Football Park,37750,3,68,113,h,65,a,117,113,68,1,2,6,9,0,3,7,9,14,0,117,65,2,3,7,9,0,3,6,10,11,0
2007_EF_101_110,2007,EF,101,110,a,h,2007-09-08 14:30,Docklands,36534,3,105,110,h,102,a,101,110,105,4,8,10,15,0,3,7,10,15,0,101,102,7,10,12,15,0,4,7,12,12,0
2007_EF_104_116,2007,EF,104,116,h,a,2007-09-08 19:30,M.C.G.,64645,38,125,104,h,87,a,116,104,125,6,8,13,18,0,5,9,12,17,0,116,87,1,7,9,13,0,4,5,8,9,0
2007_QF_107_112,2007,QF,107,112,h,a,2007-09-09 14:45,M.C.G.,77630,106,156,107,h,50,a,112,107,156,3,10,16,23,0,5,10,16,18,0,112,50,3,4,6,8,0,0,1,1,2,0
2007_SF_104_117,2007,SF,104,117,h,a,2007-09-14 18:45,Subiaco,43627,19,93,104,h,74,a,117,104,93,1,4,7,10,13,5,8,11,12,15,117,74,0,5,8,10,10,4,5,9,12,14
2007_SF_110_112,2007,SF,110,112,a,h,2007-09-15 19:30,M.C.G.,74981,33,93,112,h,60,a,110,112,93,3,5,9,14,0,3,5,7,9,0,110,60,2,4,6,8,0,1,3,8,12,0
2007_PF_104_107,2007,PF,104,107,a,h,2007-09-21 19:50,M.C.G.,98002,5,92,107,h,87,a,104,107,92,4,7,9,13,0,4,6,13,14,0,104,87,2,6,9,13,0,5,7,8,9,0
2007_PF_112_113,2007,PF,112,113,a,h,2007-09-22 16:00,Football Park,43953,87,133,113,h,46,a,112,113,133,6,9,17,20,0,0,3,10,13,0,112,46,3,3,4,5,0,2,7,10,16,0
2007_GF_107_113,2007,GF,107,113,h,a,2007-09-29 14:30,M.C.G.,97302,119,163,107,h,44,a,113,107,163,5,11,18,24,0,7,13,17,19,0,113,44,2,4,5,6,0,2,3,5,8,0
2008_QF_110_118,2008,QF,110,118,h,a,2008-09-05 19:50,M.C.G.,76703,51,127,110,h,76,a,118,110,127,4,10,15,18,0,5,12,17,19,0,118,76,2,4,7,11,0,1,4,7,10,0
2008_EF_101_104,2008,EF,101,104,a,h,2008-09-06 14:00,Football Park,37685,31,125,104,h,94,a,101,104,125,4,7,14,19,0,3,6,9,11,0,101,94,2,9,11,14,0,2,6,7,10,0
2008_EF_112_116,2008,EF,112,116,a,h,2008-09-06 19:30,Stadium Australia,19127,35,110,116,h,75,a,112,116,110,1,4,12,17,0,5,6,7,8,0,112,75,4,6,10,11,0,1,4,5,9,0
2008_QF_107_115,2008,QF,107,115,h,a,2008-09-07 14:40,M.C.G.,71653,58,119,107,h,61,a,115,107,119,3,7,16,17,0,7,10,15,17,0,115,61,1,3,5,8,0,1,2,5,13,0
